archivo,cultivo,estado,tecnologia,modalidad,ciclo,costo_por_ha,rendimiento,precio,utilidad,prep_terreno,siembra,fertilizacion,labores,riegos,plagas,cosecha,diversos,utilidad_calc,prep_terreno_pct,siembra_pct,fertilizacion_pct,labores_pct,riegos_pct,plagas_pct,cosecha_pct,diversos_pct,roi,cultivo_mapeado
Canola_GMF_Sonora_OI_2025_2026.pdf,CANOLA,SONORA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,9000,2.65,9353.0,3002.0,3620.0,2028.0,6550.0,280.0,2010.0,869,2380.0,2279,15785.45,0.4022222222222222,0.22533333333333333,0.7277777777777777,0.03111111111111111,0.22333333333333333,0.09655555555555556,0.2644444444444444,0.25322222222222224,0.33355555555555555,CANOLA
Cebada_BMF_Chihuahua_OI_2025_2026.pdf,CEBADA,CHIHUAHUA,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,OI 2025/2026,5200,7.5,7600.0,20867.0,1720.0,2237.0,17300.0,312.0,7624.0,923,2302.0,1400,51800.0,0.33076923076923076,0.4301923076923077,3.326923076923077,0.06,1.4661538461538461,0.1775,0.4426923076923077,0.2692307692307692,4.012884615384616,CEBADA GRANO
Cebada_BMF_Durango_OI_2025_2026.pdf,CEBADA,DURANGO,BMF,RIEGO POR ASPERSIÓN ESTATUS: AUTORIZADO,OI 2025/2026,5400,5.1,6200.0,3299.0,2950.0,2580.0,9913.0,0.0,2775.0,2936,1350.0,2148,26219.999999999996,0.5462962962962963,0.4777777777777778,1.8357407407407407,0.0,0.5138888888888888,0.5437037037037037,0.25,0.3977777777777778,0.6109259259259259,CEBADA GRANO
Cebada_GMF_Jalisco_OI_2025_2026.pdf,CEBADA,JALISCO,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,6200,6.0,7898.0,3295.0,7000.0,4548.0,11657.0,0.0,4800.0,6573,2960.0,2460,41188.0,1.1290322580645162,0.7335483870967742,1.8801612903225806,0.0,0.7741935483870968,1.0601612903225806,0.4774193548387097,0.3967741935483871,0.5314516129032258,CEBADA GRANO
Chile chilaca (seco)_BMF_Chihuahua_PV_2026.pdf,CHILE,CHIHUAHUA,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,40000,3.0,45000.0,35707.0,5930.0,10991.0,18537.0,6356.0,10854.0,20202,10050.0,7179,95000.0,0.14825,0.274775,0.463425,0.1589,0.27135,0.50505,0.25125,0.179475,0.892675,CHILE VERDE
Chile chilaca (verde)_BMF_Chihuahua_PV_2026.pdf,CHILE,CHIHUAHUA,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,5000,40.0,6500.0,123012.0,5930.0,46913.0,18537.0,3756.0,11218.0,20202,9200.0,7467,255000.0,1.186,9.3826,3.7074,0.7512,2.2436,4.0404,1.84,1.4934,24.6024,CHILE VERDE
Chile guajillo (seco)_BCF_Zacatecas_PV_2026.pdf,CHILE,ZACATECAS,,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,40000,2.0,52000.0,11973.0,2789.0,9200.0,13817.0,8733.0,12434.0,6022,20600.0,11000,64000.0,0.069725,0.23,0.345425,0.218325,0.31085,0.15055,0.515,0.275,0.299325,CHILE VERDE
Chile jalapeño_BMF_Chihuahua_PV_2026.pdf,CHILE,CHIHUAHUA,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,5000,45.0,6500.0,71153.0,5428.0,49737.0,33690.0,14495.0,29779.0,15141,46507.0,6534,287500.0,1.0856,9.9474,6.738,2.899,5.9558,3.0282,9.3014,1.3068,14.2306,CHILE VERDE
Chile jalapeño_BMF_Nayarit_PV_2026.pdf,CHILE,NAYARIT,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,7500,40.0,11352.0,159767.0,18370.0,39780.0,44805.0,4580.0,27366.0,71354,52500.0,16686,446580.0,2.449333333333333,5.304,5.974,0.6106666666666667,3.6488,9.513866666666667,7.0,2.2248,21.302266666666668,CHILE VERDE
Chile mulato (seco)_BMF_San Luis Potosí_PV_2026.pdf,CHILE,SAN LUIS POTOSÍ,BMF,RIEGO POR GOTEO ESTATUS: AUTORIZADO,PV - 2026,60000,4.0,70000.0,46880.0,29850.0,40500.0,20966.0,2400.0,19300.0,4583,81000.0,13200,220000.0,0.4975,0.675,0.3494333333333333,0.04,0.32166666666666666,0.07638333333333333,1.35,0.22,0.7813333333333333,CHILE VERDE
Cártamo_GMF_Sonora_OI_2025_2026.pdf,CARTAMO,SONORA,GMF,TRADICIONAL ESTATUS: AUTORIZADO,OI 2025/2026,7000,2.65,8390.0,470.0,4320.0,1409.0,5249.0,560.0,1775.0,1854,2380.0,2723,15233.5,0.6171428571428571,0.2012857142857143,0.7498571428571429,0.08,0.25357142857142856,0.26485714285714285,0.34,0.389,0.06714285714285714,CÁRTAMO
Durazno_Est_BMF_Chihuahua_PN_2026.pdf,DURAZNO,CHIHUAHUA,BMF,MICROASPERSIÓN ESTATUS: AUTORIZADO,PN - 2026,10259,0.0,14272.0,-10259.0,9161.0,83750.0,11702.0,13750.0,80297.0,3489,0.0,750,-10259.0,0.8929720245637977,8.163563700165708,1.140656984111512,1.3402865776391462,7.82698118725022,0.3400916268642168,0.0,0.07310654059849887,-1.0,DURAZNO
Durazno_Mtto_BMF_Chihuahua_PN_2026.pdf,DURAZNO,CHIHUAHUA,BMF,MICROASPERSIÓN ESTATUS: AUTORIZADO,PN - 2026,10258,14.84,14272.0,107483.0,0.0,0.0,15154.0,35942.0,10593.0,14452,14100.0,5780,201538.48,0.0,0.0,1.4772860206667966,3.503801910703841,1.032657438097095,1.4088516279976604,1.3745369467732502,0.5634626632871905,10.477968414895692,DURAZNO
