CVEGEO,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado,nomestado
12026,0.0,91.02061825841336,8.97938174158664,0.0,GUERRERO
12027,0.0,100.0,0.0,0.0,GUERRERO
12028,0.0,100.0,0.0,0.0,GUERRERO
12029,0.0,67.71827341980297,31.50534947245352,0.0,GUERRERO
12030,0.0,78.16403000440906,21.835969995590943,0.0,GUERRERO
12031,0.0,100.0,0.0,0.0,GUERRERO
12032,0.0,44.95226865302061,23.044404532990523,0.0,GUERRERO
12033,0.0,100.0,0.0,0.0,GUERRERO
12034,0.0,66.28379368492125,33.71620631507875,0.0,GUERRERO
12035,0.0,74.30675794174324,25.693242058256764,0.0,GUERRERO
12036,0.0,100.0,0.0,0.0,GUERRERO
12037,0.0,69.22677281784021,30.77322718215978,0.0,GUERRERO
12038,0.0,83.41447053597774,16.58552946402225,0.0,GUERRERO
12039,0.0,100.0,0.0,0.0,GUERRERO
12040,0.0,6.518780224138902,93.4812197758611,0.0,GUERRERO
12041,0.0,99.99999999999999,0.0,0.0,GUERRERO
12042,0.0,100.0,0.0,0.0,GUERRERO
12043,0.0,100.0,0.0,0.0,GUERRERO
12044,0.0,100.0,0.0,0.0,GUERRERO
12045,0.0,100.0,0.0,0.0,GUERRERO
12046,0.0,97.1135450947147,2.886454905285305,0.0,GUERRERO
12047,0.0,45.957732263145246,54.04226773685474,0.0,GUERRERO
12048,0.0,60.087094607622994,39.912905392377,0.0,GUERRERO
12049,0.0,0.0,100.0,0.0,GUERRERO
12050,0.0,100.0,0.0,0.0,GUERRERO
12051,0.0,100.0,0.0,0.0,GUERRERO
12052,0.0,68.60155000712408,31.398449992875932,0.0,GUERRERO
12053,0.0,99.92990514405805,0.07009485594195528,0.0,GUERRERO
12054,0.0,55.430024435628134,0.0,0.0,GUERRERO
12055,0.0,37.920332510576934,62.07966748942306,0.0,GUERRERO
12056,0.0,69.7681794625992,30.23182053740078,0.0,GUERRERO
12057,0.0,0.6458240400567068,87.32406353045211,0.0,GUERRERO
12058,0.0,99.91777513734253,0.08222486265747529,0.0,GUERRERO
12059,0.0,95.71587586564685,4.284124134353149,0.0,GUERRERO
12060,0.0,0.14015891049460336,99.8598410895054,0.0,GUERRERO
12061,0.0,100.00000000000001,0.0,0.0,GUERRERO
12062,0.0,100.0,0.0,0.0,GUERRERO
12063,0.0,99.99999999999997,0.0,0.0,GUERRERO
12064,0.0,100.0,0.0,0.0,GUERRERO
12065,0.0,100.0,0.0,0.0,GUERRERO
12066,0.0,100.0,0.0,0.0,GUERRERO
12067,0.0,100.0,0.0,0.0,GUERRERO
12068,0.0,97.86747555839109,2.132524441608902,0.0,GUERRERO
12069,0.0,99.99999999999999,0.0,0.0,GUERRERO
12070,0.0,100.00000000000001,0.0,0.0,GUERRERO
12071,0.0,99.86435562738265,0.1356443726173575,0.0,GUERRERO
12072,0.0,99.99999999999999,0.0,0.0,GUERRERO
12073,0.0,27.104464949228422,72.89553505077157,0.0,GUERRERO
