municipio,suelo_arcilloso,suelo_arenoso,suelo_fertil,suelo_limitado
OCAMPO,0.0,0.0,81.37147184304018,18.62852815695982
SAN FELIPE,0.0,0.0,97.69687714396692,2.3031228560330743
DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,2.574010703893958,0.0,97.42598929610604,0.0
SAN DIEGO DE LA UNIÓN,0.0,0.0,100.0,0.0
SAN MIGUEL DE ALLENDE,35.145522276784845,0.0,64.85447772321515,0.0
DOCTOR MORA,0.0,0.0,100.0,0.0
SAN LUIS DE LA PAZ,10.13473531795086,18.421233281780893,71.44403140026824,0.0
VICTORIA,0.0,33.15346234698145,66.84653765301856,0.0
XICHÚ,0.0,86.42572600860603,13.574273991393977,0.0
ATARJEA,0.0,48.98126582739155,51.01873417260845,0.0
SAN JOSÉ ITURBIDE,0.0,32.66767571428454,67.33232428571546,0.0
SANTA CATARINA,0.0,0.0,100.0,0.0
TIERRA BLANCA,0.0,40.62814089581669,59.37185910418331,0.0
LEÓN,37.782645424449484,0.0,62.21735457555051,0.0
MANUEL DOBLADO,26.18965631982533,0.0,73.81034368017467,0.0
PURÍSIMA DEL RINCÓN,75.15265323076045,0.0,24.847346769239547,0.0
SAN FRANCISCO DEL RINCÓN,99.648515633096,0.0,0.35148436690400797,0.0
GUANAJUATO,2.9353204877464303,0.0,97.06467951225358,0.0
ROMITA,87.79263430386001,0.0,12.207365696139973,0.0
SILAO DE LA VICTORIA,25.433446528403163,0.0,74.56655347159685,0.0
APASEO EL ALTO,100.0,0.0,0.0,0.0
APASEO EL GRANDE,100.0,0.0,0.0,0.0
CELAYA,100.0,0.0,0.0,0.0
COMONFORT,62.53114481820121,0.0,37.46885518179879,0.0
SANTA CRUZ DE JUVENTINO ROSAS,65.43676719810915,0.0,34.563232801890855,0.0
TARIMORO,100.0,0.0,0.0,0.0
CORONEO,0.0,0.0,100.0,0.0
JERÉCUARO,54.55344184032543,0.0,45.44655815967457,0.0
IRAPUATO,82.94356797085153,0.0,17.05643202914846,0.0
PUEBLO NUEVO,100.0,0.0,0.0,0.0
PÉNJAMO,58.31585003058335,0.0,41.68414996941665,0.0
MOROLEÓN,100.0,0.0,0.0,0.0
URIANGATO,100.0,0.0,0.0,0.0
YURIRIA,100.0,0.0,0.0,0.0
ACÁMBARO,74.39502195138346,0.0,25.60497804861655,0.0
TARANDACUAO,1.5099202479921037,0.0,98.4900797520079,0.0
SALVATIERRA,100.0,0.0,0.0,0.0
SANTIAGO MARAVATÍO,100.0,0.0,0.0,0.0
JARAL DEL PROGRESO,100.0,0.0,0.0,0.0
VALLE DE SANTIAGO,100.0,0.0,0.0,0.0
CORTAZAR,100.0,0.0,0.0,0.0
SALAMANCA,69.11498804311984,0.0,30.88501195688017,0.0
VILLAGRÁN,100.0,0.0,0.0,0.0
ABASOLO,100.0,0.0,0.0,0.0
CUERÁMARO,54.38548524839444,0.0,45.61451475160557,0.0
HUANÍMARO,100.0,0.0,0.0,0.0
TÉCPAN DE GALEANA,0.0,0.6458240400567068,87.32406353045211,0.0
COAHUAYUTLA DE JOSÉ MARÍA IZAZAGA,0.0,29.038117542047974,70.96188245795202,0.0
LA UNIÓN DE ISIDORO MONTES DE OCA,0.0,97.86747555839109,2.132524441608902,0.0
ZIHUATANEJO DE AZUETA,0.0,83.41447053597774,16.58552946402225,0.0
PETATLÁN,0.0,60.087094607622994,39.912905392377,0.0
ATOYAC DE ÁLVAREZ,0.0,0.0,70.84140118866713,0.0
BENITO JUÁREZ,0.0,0.0,100.0,0.0
COYUCA DE BENÍTEZ,0.0,19.459523673611024,75.5834347150961,0.0
IGUALAPA,0.0,100.0,0.0,0.0
OMETEPEC,0.0,97.1135450947147,2.886454905285305,0.0
TLACOACHISTLAHUACA,0.0,100.0,0.0,0.0
XOCHISTLAHUACA,0.0,99.86435562738265,0.1356443726173575,0.0
ACAPULCO DE JUÁREZ,0.0,87.78626267925816,12.213737320741844,0.0
JUAN R. ESCUDERO,0.0,100.0,0.0,0.0
COPALA,0.0,63.180975782375384,36.819024217624616,0.0
CUAUTEPEC,0.0,0.5071437497072259,99.49285625029277,0.0
FLORENCIO VILLARREAL,0.0,78.16403000440906,21.835969995590943,0.0
SAN MARCOS,0.0,99.92990514405805,0.07009485594195528,0.0
AYUTLA DE LOS LIBRES,0.0,74.32667425928055,25.673325740719456,0.0
TECOANAPA,0.0,69.7681794625992,30.23182053740078,0.0
